equation,answer
"y\prime= \frac{3}{x^3+x}, \;\;\;\; y(1)=0",y = 3 \ln x -\frac{3}{2} \ln {(x^2+1)} + \frac{3}{2} \ln 2
y\prime=3xy,y = C e^{\frac{3}{2} x^2}
\frac{dy}{dx}= xy^2 + 4x + 2y^2 + 8,y =2 \tan{(x^2 +4x +2C)}
"\frac{dy}{dx}= e^{x+2y}, y(0)=1 ",y = -\frac{1}{2} \ln{(-2 e^x + 2+e^{-2})}
y\prime = x e^{2x+y} ,y = - \ln {(-\frac{1}{2} x e^{2x} + \frac{1}{4} e^{2x}-C)}
x(x+1)(x+2) y\prime = (3x-3) y^2 ,y = \frac{1}{\frac{3}{2} \ln{|x|} - 6 \ln{|x+1|} +\frac{9}{2}\ln{|x+2|}-C}
y\prime-xy=0,y= C e^{\frac{1}{2} x^2}
(x^2+4) y\prime = 3xy,y = C (x^2+4)^{3/2}
y\prime+ \frac{2}{x} y = \frac{3 e^{3x}}{x^2},y  =  \frac{1}{x^2} e^{3x} + \frac{C}{x^2}
y\prime+2y=x,y = \frac{1}{2} x  - \frac{1}{4} +C e^{-2x}
"y\prime - 2xy = 3x,  \; y(0)=1",y = -\frac{3}{2}+ \frac{5}{2} e^{x^2}
2xy\prime = y+ 3\sqrt{x^5},y = \frac{3}{4}x^{5/2} +C x^{1/2}
"xy\prime-5y = 2x, \; y(1)=0",y = -\frac{1}{2} x + \frac{1}{2} x^{5}
"x^2 y\prime + y = \frac{1}{x}, \; y(1)=0",y = 1+\frac{1}{x}+ -\frac{2}{e} e^{\frac{1}{x}}
x^2 y\prime +2xy + 10xy y\prime + 5y^2 + 9y^2 y\prime =0 ,x^2 y + 5 x y^2 + 3 y^3 + C = 0
(3x \cos y + 5) dx + \left(-\frac{3}{2} x^2 \sin y + 3y^2\right) dy = 0,\frac{3}{2} x^2 \cos y + y^3+ 5x =C 
5x^2 +2y + 2xy\prime = 0,2xy + \frac{5}{3} x^3 =C
(1+y e^{xy})dx +(2y+x e^{xy})dy =0,x+ y^2 +e^{xy} =C
"y\prime\prime-6y\prime+8y=0, \; y(0)=1, y\prime(0)=-6",y = (-4) e^{4 x}+ 5 e^{2 x}
"y\prime\prime-8y\prime+16y=0, \; y(0)=2, y\prime(0)=0",y= 2 e^{4 x} - 8 x e^{4 x}
"y\prime\prime-6y\prime+10y=0, \; y(0)=3, y\prime(0)=-2",y=e^{3 x} (3 \cos x -11 \sin x)
"3y\prime\prime-5\prime-2y=0, \; y(0)=1, y\prime(0)=-2",y=\frac{12}{7} e^{-\frac{1}{3} x}-\frac{5}{7} e^{2 x}
y\prime\prime -2y\prime - 3y = 5 e^{7x},y = C_1 e^{3x} + C_2 e^{-x}+\frac{5}{32}e^{7x}
y\prime\prime-2y\prime-3y= 4 \sin 2x ,y = C_1 e^{3x} + C_2 e^{-x}  -\frac{28}{65} \cos 2x + \frac{16}{65} \sin 2x
y\prime\prime - 6y\prime +9y = 3 e^{3x}- e^{4x},y = C_1 e^{3x} + C_2 x e^{3x}+\frac{3}{2} x^2 e^{3x} - e^{4x}
y\prime\prime+y=\tan x,y = C_1 \cos x + C_2 \sin x - \cos x  \ln |\sec x + \tan x
y\prime\prime - y =x,y= C_1 e^x + C_2 e^{-x} - x
(x^2+3)y\prime\prime +4xy\prime+y =0,y= a_0 + a_1 x -\frac{1}{6} a_0 x^2 -\frac{5}{18}a_1 x^3 + \frac{11}{216} a_0x^4+\frac{19}{216} a_1 x^5 +\cdots
"y\prime\prime + xy\prime+ y =0, \; \; y(0)=1, y\prime(0)=-2",y = 1 -2x -\frac{1}{2} x^2+ \frac{2}{3} x^3 - \frac{1}{8} x^4 -  -\frac{2}{15} x^5 \cdots
2x^2 y\prime\prime + 3xy\prime - (x^2 +1)y =0,y = C y_1 \ln x + \sum_{n=0}^{\infty} b_n x^{k+r_2}
2x^2 y\prime\prime + (7x-x^2) y\prime + 2y =0,y= C_1 \left( \frac{1}{x^2} + \frac{2}{x} -1 \right) + C_2 x^{-1/2} \left(1  -\frac{1}{10} x - \frac{1}{280} x^2  - \frac{1}{5040} x^3  - \frac{1}{88704} x^4 + \cdots  \right)
\mathbf{X\prime} = \begin{pmatrix} 7 & -4 \\ 5 & -2 \\ \end{pmatrix} \mathbf{X},\begin{cases}x(t) = 4C_1 e^{2t}+ C_2 e^{3t} \\ y(t) = 5C_2 e^{2t}+ C_2 e^{3t}  \end{cases}
